id	state	city	potencia kwp	nro_paineis	geracao_media	preco
11105	SP	São Paulo	42.75	114	5045	R$153.959,21
11146	SP	São Paulo	40.5	90	4779	R$152.012,32
11162	SP	São Paulo	38.64	84	4560	R$152.112,12
11166	SP	São Paulo	44.22	132	5218	R$155.612,98
11177	SP	São Paulo	41.4	92	4885	R$155.748,33
11185	SP	São Paulo	40.48	88	4777	R$152.907,38
11220	SP	São Paulo	44.22	132	5218	R$157.158,01
11229	SP	São Paulo	43.5	116	5133	R$157.281,89
11232	SP	São Paulo	41.4	90	4885	R$154.209,65
11237	SP	São Paulo	41.4	92	4885	R$157.284,13
11268	SP	São Paulo	45	120	5310	R$158.343,66
11284	SP	São Paulo	42.3	94	4991	R$158.505,28
11293	SP	São Paulo	41.4	90	4885	R$155.745,45
11308	SP	São Paulo	47.25	126	5576	R$159.586,11
11310	SP	São Paulo	45	100	5310	R$159.444,45
11314	SP	São Paulo	48.24	144	5692	R$160.763,02
11324	SP	São Carlos	45	120	5310	R$159.754,84
11325	SP	São Paulo	42.32	92	4994	R$159.563,73
11326	SP	São Paulo	42.88	128	5060	R$159.685,21
11347	SP	São Paulo	42.3	94	4991	R$160.050,32
11355	SP	São Paulo	45.56	136	5376	R$161.681,93
11363	SP	São Paulo	46.9	140	5534	R$162.020,96
11366	SP	São Carlos	43.2	96	5098	R$160.809,92
11387	SP	São Paulo	45	120	5310	R$161.299,87
11388	SP	São Paulo	42.32	92	4994	R$161.099,53
11420	SP	São Carlos	43.2	96	5098	R$162.345,72
11423	SP	São Paulo	42.32	92	4994	R$162.333,02
11445	SP	São Carlos	41.4	90	4885	R$159.829,00
11460	SP	São Paulo	44.1	98	5204	R$163.566,88
11467	SP	São Paulo	46.9	140	5534	R$164.977,17
11471	SP	São Paulo	47.25	126	5576	R$164.104,67
11474	SP	São Paulo	48.24	144	5692	R$165.272,35
11477	SP	São Paulo	43.24	94	5102	R$163.937,60
11493	SP	São Paulo	49.5	132	5841	R$164.929,43
11508	SP	São Paulo	44.16	96	5211	R$164.796,77
11519	SP	São Paulo	44.1	98	5204	R$165.111,91
11527	SP	São Paulo	47.25	105	5576	R$165.604,70
11539	SP	São Paulo	50.92	152	6009	R$170.222,68
11540	SP	São Paulo	47.25	126	5576	R$166.013,17
11541	SP	São Paulo	45	100	5310	R$165.871,51
11545	SP	São Paulo	42.88	128	5060	R$165.917,27
11548	SP	São Paulo	45.56	136	5376	R$167.176,67
